Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1,300,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1782553942761418.866	,10.180,0,0,0,NO,N/A,N/A,N/A,"""16,5120""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,2,300,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782553942762687.171	,10.000,1258.320000,40,0,NO,"""16,5120""",FLOAT,ND,"""16,5120""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.162,472714,0.044,0.006,0.968,0.135,1.415,0.198,0.342,0.048,0.205,0.000
0,4294967295,4,300,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1782553942763118.260	,1.320,421.000000,0,0,NO,N/A,N/A,N/A,"""128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,5,300,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782553942763157.840	,1.240,38.180000,1,0,NO,"""128""",FLOAT,ND,"""128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666,1099,0.025,0.038,0.243,0.365,0.237,0.356,0.124,0.186,0.0,0.000
0,4294967295,7,300,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1782553942763220.762	,1.360,61.760000,0,0,NO,N/A,N/A,N/A,"""128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,8,300,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782553942763269.223	,1.100,47.140000,1,0,NO,"""128""",FLOAT,ND,"""128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,1041,0.025,0.04,0.253,0.401,0.222,0.353,0.112,0.178,0.0,0.000
0,4294967295,10,300,aclnnInplaceRandom_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1782553947190354.696	,1.020,4427084.400000,0,0,NO,N/A,N/A,N/A,"""16""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,11,300,aclnnInplaceRandom_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782553947190872.106	,2.180,516.230000,1,0,NO,"""16""",FLOAT,ND,"""16""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110930.958,183036080,2627.07,0.024,11050.721,0.1,20986.198,0.189,1231.229,0.011,0.038,0.000
0,4294967295,12,300,split_qkv_rmsnorm_rope_kernel,split_qkv_rmsnorm_rope_kernel,static,AI_VECTOR_CORE,1782553947317294.732	,11.140,126420.570000,40,0,NO,"""16,5120;262144,128;16""",DT_BF16;DT_BF16;INT64,ND;ND;ND,"""16,4096;16,512""",DT_BF16;DT_BF16,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108854.105,7184370928,2744.348,0.025,10569.963,0.097,16858.67,0.155,1308.585,0.012,0.041,0.000
0,4294967295,13,300,aclnnIndexSelect_GatherV3AiCore_GatherV3,GatherV3,dynamic,AI_VECTOR_CORE,1782553947330457.595	,5.900,13151.610000,16,0,NO,"""262144,128;16;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""16,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.481,118308,0.017,0.004,2.228,0.497,0.65,0.145,0.128,0.028,0.148,0.000
0,4294967295,14,300,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1782553947332962.305	,6.940,2498.850000,32,0,NO,"""16,2,64;3""",DT_BF16;INT64,NCL;ND,"""16,2,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.065,214629,0.072,0.018,0.449,0.111,0.105,0.026,0.127,0.031,0.204,0.000
0,4294967295,15,300,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1782553947367681.059	,2.820,34711.810000,8,0,NO,"""16,256;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""16,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.576,20803,0.008,0.005,0.344,0.218,0.112,0.071,0.132,0.084,0.223,0.000
0,4294967295,16,300,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1782553947368175.689	,2.380,491.930000,8,0,NO,"""16,256;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""16,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.279,16885,0.008,0.007,0.333,0.26,0.112,0.088,0.135,0.106,0.231,0.000
0,4294967295,17,300,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782553947370041.386	,7.920,1863.370000,40,0,NO,"""16,4096""",DT_BF16,ND,"""16,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823,318338,0.04,0.008,0.18,0.037,0.455,0.094,0.616,0.128,0.23,0.000
